stock_code,corp_name
282330,BGF리테일
138930,BNK금융지주
001040,CJ
000120,CJ대한통운
097950,CJ제일제당
005830,DB손해보험
000210,DL
375500,DL이앤씨
007340,DN오토모티브
383220,F&F
114090,GKL
078930,GS
006360,GS건설
007070,GS리테일
012630,HDC
009540,HD한국조선해양
267250,HD현대
443060,HD현대마린솔루션
010620,HD현대미포
042670,HD현대인프라코어
267260,HD현대일렉트릭
329180,HD현대중공업
204320,HL만도
011200,HMM
298050,HS효성첨단소재
175330,JB금융지주
105560,KB금융
002380,케이씨씨
003620,KG모빌리티
030200,케이티
033780,케이티앤지
003550,LG
034220,LG디스플레이
051900,LG생활건강
373220,LG에너지솔루션
032640,LG유플러스
011070,LG이노텍
066570,LG전자
051910,LG화학
079550,LIG넥스원
006260,LS
010120,엘에스일렉트릭
035420,NAVER
005940,NH투자증권
456040,OCI
010060,OCI홀딩스
005490,POSCO홀딩스
010950,S-Oil
034730,SK
011790,SKC
302440,SK바이오사이언스
326030,에스케이바이오팜
402340,SK스퀘어
361610,SK아이이테크놀로지
096770,SK이노베이션
285130,SK케미칼
017670,SK텔레콤
000660,SK하이닉스
002710,TCC스틸
069260,티케이지휴켐스
139130,iM금융지주
035250,강원랜드
010130,고려아연
011780,금호석유화학
073240,금호타이어
000270,기아
024110,기업은행
251270,넷마블
006280,녹십자
005250,녹십자홀딩스
004370,농심
001680,대상
047040,대우건설
003090,대웅
069620,대웅제약
006650,대한유화
001440,대한전선
003490,대한항공
192080,더블유게임즈
145720,덴티움
026960,동서
006040,동원산업
014820,동원시스템즈
000150,두산
454910,두산로보틱스
241560,두산밥캣
034020,두산에너빌리티
023530,롯데쇼핑
280360,롯데웰푸드
004000,롯데정밀화학
004990,롯데지주
005300,롯데칠성음료
011170,롯데케미칼
138040,메리츠금융지주
006800,미래에셋증권
081660,미스토홀딩스
002840,미원상사
268280,미원에스씨
028050,삼성E&A
006400,삼성SDI
028260,삼성물산
207940,삼성바이오로직스
032830,삼성생명
018260,삼성에스디에스
009150,삼성전기
005930,삼성전자
010140,삼성중공업
016360,삼성증권
029780,삼성카드
000810,삼성화재해상보험
003230,삼양식품
004490,세방전지
001430,세아베스틸지주
003030,세아제강지주
068270,셀트리온
004170,신세계
055550,신한지주
112610,씨에스윈드
090430,아모레퍼시픽
002790,아모레퍼시픽홀딩스
137310,에스디바이오센서
005850,에스엘
012750,에스원
278470,에이피알
450080,에코프로머티
036570,엔씨소프트
066970,엘앤에프
111770,영원무역
009970,영원무역홀딩스
000670,영풍
007310,오뚜기
271560,오리온
001800,오리온홀딩스
316140,우리금융지주
000100,유한양행
008730,율촌화학
139480,이마트
457190,이수스페셜티케미컬
030000,제일기획
185750,종근당
071320,지역난방공사
035720,카카오
323410,카카오뱅크
377300,카카오페이
192820,코스맥스
005420,코스모화학
120110,코오롱인더
021240,코웨이
259960,크래프톤
039490,키움증권
003240,태광산업
028670,팬오션
022100,포스코DX
047050,포스코인터내셔널
003670,포스코퓨처엠
103140,풍산
086790,하나금융지주
039130,하나투어
352820,하이브
000080,하이트진로
036460,한국가스공사
071050,한국금융지주
000240,한국앤컴퍼니
015760,한국전력공사
017960,한국카본
161890,한국콜마
161390,한국타이어앤테크놀로지
047810,한국항공우주
042700,한미반도체
008930,한미사이언스
128940,한미약품
009240,한샘
014680,한솔케미칼
018880,한온시스템
009420,한올바이오파마
300720,한일시멘트
051600,한전KPS
052690,한전기술
180640,한진칼
000880,한화
489790,한화비전
088350,한화생명
009830,한화솔루션
272210,한화시스템
012450,한화에어로스페이스
042660,한화오션
000720,현대건설
086280,현대글로비스
064350,현대로템
012330,현대모비스
069960,현대백화점
017800,현대엘리베이터
011210,현대위아
004020,현대제철
005380,현대자동차
001450,현대해상
008770,호텔신라
298040,효성중공업
298020,효성티앤씨
093370,후성
